markers
PPP1R14A
CD79A
IGHM
S100A9
CD14
CDKN1C
CD4
CCR7
CD8A
CLEC9A
FCER1A
GZMA
HBD
TRDC
IL3RA
SOX4
SLC4A10
GZMB
NCAM1
ASPM
ITM2C
TNFRSF17
PPBP
FOXP3
