markers
SFTA2
NAPSA
CD79A
MS4A1
KRT15
S100A2
GPR183
SPARCL1
PECAM1
VWF
COL6A1
CCL4
GNLY
CLDN5
C1QB
VCAN
SNTN
WFDC2
CD3E
CD3D
